"in_degree","Source"
100,3700338
531,3700926
180,3701056
813,1005211
270,1004766
2,100203886
1,100089832
0,4500193
1,4501880
0,100149324
5792,1005100
0,100160098
2,100136002
44,100107877
157,100107798
4,10700289
232,1003319
321,1004781
202,1004566
537,1004720
1433,1005223
971,1005105
186,1005106
167,1003333
452,1003306
2832,100068493
5,10300454
32,16600209
23,16600154
366,1307555
157,1004496
15,1802004
13,2502060
7,4501569
6,2800297
3491,100068488
4817,1005212
16,1480257
195,100055405
121,53300010
11,9101366
2568,1002544
25,100058844
276,100058915
0,26402785
3,100040737
211,1003304
119,1002528
0,32600660
48,12301106
235,3600661
4,3601523
9,6701011
3,6701206
2372,1005115
2154,1005160
470,1005159
7,100072993
233,1004768
1,4502104
2,4502016
304,1005161
2852,1004836
2,100120527
8,100008149
6,3601461
112,3900003
40,1005142
2,100182687
1453,1004249
43,1802038
27,1801883
236,1801739
5,100084807
107,1700652
1,5800013
103,100006963
22,2702472
14,100021796
15,100006078
241,1005015
1,100007810
6,2800603
8,3700715
7,6200711
5,2700615
6,3700705
49,2702332
9,2701399
4,100025019
412,1801766
38,100199541
2,2800682
3,3601643
11,1802011
335,1004961
1,2502268
3,100018668
2,100044445
4,2502288
7,27600117
18,2700616
1,100010607
641,1004767
2185,1004856
1,8801043
398,100068441
430,1005099
1781,1005169
434,100086235
711,100009754
6,26300077
20,26400301
25,3900975
59,3900990
478,100086238
2,27700805
12,19700028
16,100208101
3,100159572
4,100205537
86,1005002
26,1005192
101,8700062
395,100198556
2,4800774
10,4802275
50,4802272
1,1801964
394,1002547
814,100143638
1,100139976
3,17302013
91,5100577
54,100019984
5,100188101
74,12202139
24,15902044
4,100147016
64,5500207
2,5500203
1772,100086203
457,1004857
7,3701439
79,12600018
298,1004258
388,1004227
52,100125988
21,3601522
109,3600036
63,100011012
58,1802022
60,100082062
0,100215065
2,100214583
201,5100562
946,1005116
45,100062484
625,1005238
362,100080841
133,100033708
108,8700430
2,4600422
2,3901044
692,100011103
203,11200225
69,100169028
24,100168840
255,1005122
22,4200543
3,4201597
6,4201166
5,3200077
17,3200478
265,1004246
207,1005004
756,1005003
328,1004659
58,1004247
6,1500474
31,1600587
0,24100479
20,12201332
148,1005113
130,1005112
17,100161870
60,11200451
0,26202357
1,100029420
12,10900030
354,1005132
6,2700978
1,100036167
40,1005138
13,1005145
0,7203379
2,100166091
6,17400202
40,8800713
2,100203179
3,100184007
139,3801134
51,19300100
3,12201355
14,6300198
610,1801690
3,28100610
8,6301052
8,33700011
51,1201565
113,1005141
289,1005119
21,9101062
15,11600094
133,3701162
98,4803976
1731,4804056
2,3701239
2,100160003
7,26300075
11,2800594
7,2800395
5,100115255
109,11200355
344,12201721
92,5100503
43,3100439
60,7600480
319,100119386
33,100168764
292,1005124
149,1005107
164,1004250
6,100083720
7,1003991
355,1004903
6,3701400
153,1201567
28,60900000
0,12900057
2,100197560
117,5000565
56,1004650
53,7600562
54,1004939
1,100074013
5,6701194
1,100022415
8,3900713
9,12100574
10,12100575
20,4100245
19,10700138
127,100185816
267,1004957
43,100109543
111,3100267
9,4700388
4,4801014
1,100174746
87,3900776
1,38100247
1,24800057
3,17500219
2,38100243
598,1004835
243,1002525
674,1002524
263,100101230
49,1004848
34,100023409
29,3100907
3,4501008
4,3701362
41,2900934
0,11200442
1451,1004838
554,1005225
366,1005171
22,2501953
390,1005168
500,1801881
8,3700551
53,10900348
60,4802963
8,51600004
4,100166908
25,4803776
7,27300001
4,6800317
5,1701272
9,100014438
10,2900010
78,4802401
15,4802606
54,2501614
30,2501589
1,5000771
6,8801027
909,5100816
50,12600003
9,100005939
24,10900301
3,100200768
3,3700557
35,3900815
6,100055449
78,3900663
82,1307520
41,100010477
172,1801882
41,8700352
4,36400012
11,100005955
6,17301281
57,3701268
84,100014125
0,100187973
1,100187974
76,100008228
389,4803977
35,16300035
24,16300031
11,12100456
1,10201863
63,12100750
2,100166110
1,100143075
4,10300136
1,100140686
1,10201869
908,100068496
990,1005098
691,1005118
218,1003312
143,1004240
35,22500265
29,22500066
6,100072654
531,4804295
99,40500104
0,3701460
1,28101348
2,15901659
7,100169641
1,100077184
2,7004045
344,100018214
175,8700064
24,8700279
20,100184481
27,100180583
2,100097882
1,100092097
2,100058143
1,30100083
1,100153098
97,100185812
370,100143628
2,26404758
87,2501816
9,3101013
10,100123713
44,100020063
8,8600067
15,9700225
5,30900127
3,9800341
18,4802682
34,3100491
156,100119370
73,100119289
0,100144890
5,100133913
2,100129630
21,9200195
97,18300021
3,100170743
1,11600038
5,25900011
152,1801906
11,9000116
18,9700230
31,9200594
28,9200409
46,100018771
18,53300006
32,6301381
42,3801135
14,15900950
1,4600619
3,4600518
3,4600410
3,100079950
12,100017646
5,4804561
4,100177931
20,100178014
477,1307545
21,9200108
22,11600002
1,5600409
27,100200030
1,100177739
65,4802878
11,11600425
88,5000475
11,5000318
19,5000324
30,5000690
2,100071741
2,10700168
5,10701009
1,100218795
1,100024110
1,100025519
17,3701392
1,100166684
1,45600821
241,4802159
8,11300045
20,10800220
13,100064155
31,100020363
45,8700085
5,8901864
49,100135511
11,1307408
2,16100597
1,14000096
5,16200102
1,100218554
4,100217171
3,16200197
1,16200489
59,4803637
7,2502058
29,2501943
53,2502011
30,8700381
154,8700327
2,4600596
5,100171128
6,100181965
150,100065078
44,100083252
84,1201466
91,1201505
8,100007545
3,19200223
45,19200186
0,3100008
629,100190575
5,10700891
200,4100277
31,100028171
0,100186615
3,100014190
4,3800737
6,1802047
1,100209215
2,100200475
5,55900001
1,22900003
125,100184476
3,29100071
2,100192042
2,17602015
1,100197863
2,38500408
1,38500402
1,100006882
1,24700540
6,24800032
4,100209831
1,100221368
120,100060825
79,100060839
3,100208243
16,6300985
0,100025909
1,50400001
8,50400030
17,21401209
84,1201566
3,100125468
27,12600013
34,1307589
1057,100068491
0,100215838
4,100046278
0,100014848
49,11500863
13,18200077
1,12201667
1,100143782
6,100143770
1,12201974
3,12202296
97,1005008
107,100051363
0,50300041
2,50300239
3,50400011
110,100170577
522,100170834
6,7300038
218,1005265
3,100124318
493,1005014
2,100103684
2,100015360
4,100135206
130,3100574
2,40500111
10,100118119
45,40500183
507,1004785
98,1003800
130,1004229
0,100149820
5,27700794
1,28722298
180,100084224
35,19300027
5,3700606
12,3801369
1,4803641
1,4803659
1074,1004226
3,100014452
6,32200054
10,100041317
85,100037027
464,1005253
9,7600371
13,18001068
64,2701657
1,2502100
1,2501557
3,1307576
37,8700293
81,8700154
86,11200364
27,5600394
3,3900963
6,100052599
1,100208091
4,100211758
3,100227859
41,1500463
0,4700640
3,4700445
3,7101751
33,16200000
25,1004840
12,1004849
1,2800535
7,2800618
3,2800468
3,2800159
29,19300096
103,100146947
11,100060812
33,100060857
60,1005073
2,1003966
12,1005286
26,1801963
0,21800073
53,8700375
12,100184674
8,11000068
9,4400322
1,4400363
6,100166061
113,1201564
24,7600140
34,6800526
28,1307571
2,1307523
537,1004565
12,4200858
56,10800074
22,1005127
93,1005130
62,12201345
375,1002540
43,100106045
12,100188019
5,100188013
1,43700042
10,1005200
8,4802160
4,4804493
1,4804492
20,100073542
47,8800313
14,11500277
6,100196924
21,3700771
25,21400996
16,100146630
2,26400614
2,16600157
14,7600028
29,7600012
14,7600375
47,16300025
1,100204595
3,100215795
228,100104755
198,4100126
16,16200237
10,50200003
5,100005429
2,100052648
1,100053092
1,100016231
38,1005284
55,100142936
304,1005135
46,15900044
3,16101079
22,100086580
3,100094939
90,100106207
208,100104481
120,100090352
1,100221054
215,5100855
3,17600832
1,54600043
349,1005121
0,100072139
57,9100636
38,100052236
3,100068251
1,100081487
26,6800659
1,30100048
4,11500655
1,12100945
2,7202447
1,100112244
1,100212413
60,12201722
0,7005603
308,2502287
7,100081784
10,12201551
2,100146746
1,100147004
2,38600019
1,24100783
2,100208319
6,100070960
0,100164134
2,12301310
1,100070509
42,21700002
19,4800670
122,1005133
1,18001647
43,1201255
202,1004904
21,100146067
146,1802061
20,11200511
345,1802005
1,100145361
1,4803204
12,11200505
126,12202338
292,1003712
85,8700398
4,100065439
31,3300010
4,14400002
59,100003946
27,22500006
5,3601530
15,3601536
7,3601344
98,5100689
185,5100337
55,3900002
1,100014196
77,1004665
112,100053489
150,1004653
5,100072003
1,100163186
7,1003533
74,100115405
5,1801089
4,100088720
2,100107297
2,4501775
5,2900379
2,100208801
1,100208797
4,100181828
17,1701420
1,100125259
1,100207832
4,100062487
1,100082092
82,8700153
14,6302304
3,100026879
1,100100001
1,100046924
1,100046898
1,100046921
1,100046909
253,1005104
106,11100223
4,24100151
2,100175532
5,24300044
0,11500219
8,5100328
882,1004723
19,100061929
53,5000346
2,42000017
1,44700058
1,29502957
15,9100708
5,4201112
2,100104779
4,6801059
26,100182013
16,40500037
2,100064151
2,1701418
1,9200527
33,53300025
2,100174887
23,12600009
10,1801514
135,1005266
1,3100198
11,2702471
91,1201231
12,12300489
18,100135824
24,26500134
1,100209293
2,100207838
20,11200017
1,43500022
1,9100087
3,100099545
1,100099552
3,9100622
13,3601472
31,100091703
55,11500439
25,3700677
6,2900418
70,2900992
4,18300075
17,1307004
65,1307403
32,1307067
6,1005176
28,25800005
40,5100347
24,5100505
2,18300231
0,12202620
8,3300329
200,100013991
2,32403453
21,1600282
18,2502059
2,3200393
12,11000146
82,100101185
230,1005129
34,100067814
1,3900989
249,3100034
12,3100622
2,18300000
8,4801583
5,100065576
35,10900115
1,15901749
3,15900157
3,15900160
1,100019003
1,100050972
16,15900111
166,12202300
3,12100935
9,12100544
35,3100871
35,3101023
58,1004230
208,3100640
42,3601603
170,3601448
18,11200419
87,8700331
126,100051366
6,100067509
1,100132239
8,10900312
1,100036794
63,100084859
183,1004958
23,1201504
481,1005203
177,1005195
120,1005007
12,8700248
112,1305362
2,2300295
18,16100003
1,100221170
25,18000962
25,18001339
81,1801704
7,17302622
17,18000820
37,12200545
2,43000004
13,100017960
75,100039953
330,100068492
12,9700140
2,9000227
11,9200578
4,27600082
23,12300925
15,50500132
1,100093522
176,1201465
9,100195933
69,10800099
3,100146140
1,18800032
3,17600284
32,8700332
0,6000200
12,17301124
1,6000174
7,6000272
12,100002623
97,1801805
1,11100012
8,11100137
43,9300087
26,1307051
95,3100074
12,3100255
25,1802064
84,3100583
1,1306316
4,19700097
1,28100518
3,100170631
13,45500001
2,21800100
26,45500010
2,21800101
1,100035551
1,10504197
13,31500231
2,100149483
96,100014353
8,2900954
199,1005191
104,1005069
14,1701343
2,17800107
22,100114429
0,4100345
44,100043773
32,3800310
0,7300489
9,100048963
28,18300155
4,100018566
0,5800645
28,100044127
27,5701244
0,100199238
2,100217053
1,100217047
5,100217055
70,100008514
317,1004210
48,100058826
5,100081401
33,3601423
14,2700276
0,100151579
