"out_degree","Source"
107,3700338
478,3700926
180,3701056
813,1005211
342,1004766
1,100203886
0,100089832
2,4500193
0,4501880
1,100149324
5660,1005100
1,100160098
2,100136002
55,100107877
147,100107798
3,10700289
301,1003319
353,1004781
226,1004566
474,1004720
1380,1005223
1270,1005105
197,1005106
172,1003333
509,1003306
2872,100068493
2,10300454
21,16600209
24,16600154
398,1307555
145,1004496
22,1802004
14,2502060
13,4501569
6,2800297
4164,100068488
4944,1005212
25,1480257
225,100055405
106,53300010
10,9101366
2872,1002544
21,100058844
263,100058915
1,26402785
2,100040737
222,1003304
121,1002528
1,32600660
28,12301106
240,3600661
3,3601523
6,6701011
2,6701206
2855,1005115
2181,1005160
428,1005159
9,100072993
276,1004768
2,4502104
2,4502016
316,1005161
2893,1004836
5,100120527
10,100008149
5,3601461
106,3900003
39,1005142
2,100182687
1563,1004249
61,1802038
17,1801883
290,1801739
5,100084807
101,1700652
5,5800013
112,100006963
25,2702472
26,100021796
14,100006078
272,1005015
0,100007810
8,2800603
14,3700715
8,6200711
6,2700615
5,3700705
45,2702332
7,2701399
2,100025019
403,1801766
35,100199541
2,2800682
5,3601643
21,1802011
289,1004961
1,2502268
3,100018668
2,100044445
4,2502288
8,27600117
23,2700616
1,100010607
914,1004767
2155,1004856
1,8801043
442,100068441
451,1005099
1743,1005169
427,100086235
679,100009754
6,26300077
20,26400301
26,3900975
81,3900990
459,100086238
1,27700805
18,19700028
16,100208101
3,100159572
1,100205537
98,1005002
25,1005192
115,8700062
219,100198556
3,4800774
4,4802275
50,4802272
4,1801964
422,1002547
718,100143638
1,100139976
3,17302013
89,5100577
40,100019984
8,100188101
46,12202139
28,15902044
3,100147016
49,5500207
2,5500203
1588,100086203
526,1004857
7,3701439
91,12600018
315,1004258
509,1004227
60,100125988
24,3601522
114,3600036
81,100011012
79,1802022
44,100082062
3,100215065
2,100214583
183,5100562
1069,1005116
45,100062484
680,1005238
405,100080841
100,100033708
57,8700430
1,4600422
2,3901044
847,100011103
140,11200225
52,100169028
17,100168840
260,1005122
17,4200543
2,4201597
3,4201166
3,3200077
9,3200478
268,1004246
231,1005004
776,1005003
376,1004659
69,1004247
7,1500474
34,1600587
1,24100479
12,12201332
154,1005113
180,1005112
16,100161870
68,11200451
1,26202357
1,100029420
11,10900030
408,1005132
6,2700978
1,100036167
46,1005138
20,1005145
2,7203379
7,100166091
10,17400202
39,8800713
2,100203179
3,100184007
121,3801134
29,19300100
6,12201355
